y,x,pres,rep,rangepar,disp,method
93,8,1,12,5,2,neutral
90,9,1,12,5,2,neutral
91,9,1,12,5,2,neutral
93,9,1,12,5,2,neutral
35,10,1,12,5,2,neutral
36,10,1,12,5,2,neutral
33,11,1,12,5,2,neutral
37,11,1,12,5,2,neutral
38,11,1,12,5,2,neutral
91,11,1,12,5,2,neutral
35,12,1,12,5,2,neutral
36,12,1,12,5,2,neutral
37,12,1,12,5,2,neutral
40,12,1,12,5,2,neutral
89,12,1,12,5,2,neutral
91,12,1,12,5,2,neutral
37,13,1,12,5,2,neutral
38,13,1,12,5,2,neutral
39,13,1,12,5,2,neutral
89,13,1,12,5,2,neutral
36,14,1,12,5,2,neutral
37,14,1,12,5,2,neutral
54,16,1,12,5,2,neutral
80,23,1,12,5,2,neutral
24,26,1,12,5,2,neutral
24,27,1,12,5,2,neutral
128,28,1,12,5,2,neutral
128,29,1,12,5,2,neutral
118,30,1,12,5,2,neutral
13,31,1,12,5,2,neutral
14,31,1,12,5,2,neutral
39,31,1,12,5,2,neutral
33,32,1,12,5,2,neutral
118,32,1,12,5,2,neutral
32,33,1,12,5,2,neutral
33,33,1,12,5,2,neutral
31,35,1,12,5,2,neutral
48,35,1,12,5,2,neutral
31,36,1,12,5,2,neutral
106,41,1,12,5,2,neutral
108,41,1,12,5,2,neutral
103,42,1,12,5,2,neutral
75,43,1,12,5,2,neutral
104,43,1,12,5,2,neutral
105,43,1,12,5,2,neutral
76,44,1,12,5,2,neutral
119,44,1,12,5,2,neutral
120,44,1,12,5,2,neutral
74,45,1,12,5,2,neutral
118,45,1,12,5,2,neutral
121,45,1,12,5,2,neutral
122,45,1,12,5,2,neutral
121,46,1,12,5,2,neutral
122,46,1,12,5,2,neutral
121,47,1,12,5,2,neutral
122,47,1,12,5,2,neutral
62,56,1,12,5,2,neutral
63,56,1,12,5,2,neutral
42,59,1,12,5,2,neutral
92,59,1,12,5,2,neutral
42,60,1,12,5,2,neutral
43,60,1,12,5,2,neutral
94,60,1,12,5,2,neutral
42,61,1,12,5,2,neutral
43,61,1,12,5,2,neutral
43,62,1,12,5,2,neutral
44,64,1,12,5,2,neutral
43,65,1,12,5,2,neutral
93,66,1,12,5,2,neutral
32,67,1,12,5,2,neutral
96,76,1,12,5,2,neutral
75,78,1,12,5,2,neutral
75,79,1,12,5,2,neutral
102,79,1,12,5,2,neutral
101,80,1,12,5,2,neutral
102,80,1,12,5,2,neutral
103,80,1,12,5,2,neutral
104,80,1,12,5,2,neutral
103,81,1,12,5,2,neutral
101,82,1,12,5,2,neutral
127,85,1,12,5,2,neutral
18,91,1,12,5,2,neutral
49,91,1,12,5,2,neutral
50,92,1,12,5,2,neutral
47,96,1,12,5,2,neutral
31,99,1,12,5,2,neutral
72,102,1,12,5,2,neutral
73,102,1,12,5,2,neutral
74,102,1,12,5,2,neutral
82,102,1,12,5,2,neutral
32,103,1,12,5,2,neutral
73,103,1,12,5,2,neutral
74,103,1,12,5,2,neutral
29,104,1,12,5,2,neutral
34,104,1,12,5,2,neutral
63,113,1,12,5,2,neutral
61,114,1,12,5,2,neutral
1,116,1,12,5,2,neutral
65,119,1,12,5,2,neutral
85,120,1,12,5,2,neutral
36,4,1,12,5,5,neutral
33,8,1,12,5,5,neutral
35,8,1,12,5,5,neutral
36,9,1,12,5,5,neutral
37,10,1,12,5,5,neutral
34,12,1,12,5,5,neutral
35,12,1,12,5,5,neutral
37,12,1,12,5,5,neutral
33,13,1,12,5,5,neutral
44,13,1,12,5,5,neutral
38,14,1,12,5,5,neutral
39,14,1,12,5,5,neutral
54,15,1,12,5,5,neutral
38,16,1,12,5,5,neutral
118,16,1,12,5,5,neutral
50,18,1,12,5,5,neutral
71,18,1,12,5,5,neutral
50,19,1,12,5,5,neutral
67,19,1,12,5,5,neutral
78,19,1,12,5,5,neutral
16,20,1,12,5,5,neutral
19,20,1,12,5,5,neutral
33,20,1,12,5,5,neutral
121,20,1,12,5,5,neutral
33,21,1,12,5,5,neutral
116,21,1,12,5,5,neutral
14,22,1,12,5,5,neutral
19,23,1,12,5,5,neutral
20,23,1,12,5,5,neutral
20,24,1,12,5,5,neutral
34,25,1,12,5,5,neutral
19,28,1,12,5,5,neutral
12,31,1,12,5,5,neutral
76,34,1,12,5,5,neutral
