rep,rangepars,x,y,pres
16,5,109,3,1
16,5,1,4,1
16,5,8,4,1
16,5,12,4,1
16,5,98,4,1
16,5,78,6,1
16,5,13,7,1
16,5,68,10,1
16,5,111,11,1
16,5,115,11,1
16,5,124,11,1
16,5,29,13,1
16,5,119,13,1
16,5,29,14,1
16,5,18,15,1
16,5,70,15,1
16,5,101,17,1
16,5,35,18,1
16,5,72,18,1
16,5,126,21,1
16,5,26,23,1
16,5,50,24,1
16,5,104,24,1
16,5,7,25,1
16,5,49,29,1
16,5,96,30,1
16,5,102,30,1
16,5,46,31,1
16,5,82,31,1
16,5,77,34,1
16,5,112,35,1
16,5,27,40,1
16,5,115,40,1
16,5,10,44,1
16,5,11,49,1
16,5,21,50,1
16,5,51,52,1
16,5,110,53,1
16,5,18,54,1
16,5,47,54,1
16,5,5,55,1
16,5,120,55,1
16,5,113,56,1
16,5,118,56,1
16,5,47,57,1
16,5,69,57,1
16,5,72,58,1
16,5,121,59,1
16,5,124,61,1
16,5,6,62,1
16,5,87,62,1
16,5,104,62,1
16,5,126,66,1
16,5,124,67,1
16,5,21,69,1
16,5,7,73,1
16,5,14,73,1
16,5,65,73,1
16,5,100,73,1
16,5,38,77,1
16,5,8,80,1
16,5,112,80,1
16,5,122,80,1
16,5,39,81,1
16,5,76,81,1
16,5,126,81,1
16,5,57,82,1
16,5,65,82,1
16,5,112,84,1
16,5,79,87,1
16,5,36,88,1
16,5,127,89,1
16,5,98,92,1
16,5,77,93,1
16,5,127,93,1
16,5,7,94,1
16,5,38,94,1
16,5,128,96,1
16,5,90,97,1
16,5,29,98,1
16,5,88,98,1
16,5,86,99,1
16,5,123,99,1
16,5,14,100,1
16,5,111,101,1
16,5,97,103,1
16,5,45,108,1
16,5,29,111,1
16,5,118,113,1
16,5,49,114,1
16,5,115,114,1
16,5,75,115,1
16,5,36,116,1
16,5,88,118,1
16,5,113,118,1
16,5,23,120,1
16,5,91,124,1
16,5,100,124,1
16,5,9,126,1
16,5,62,126,1
